snapshot_date,store_id,product_id,on_hand_qty,reorder_point
2024-07-01,ST001,P0001,73,42
2024-07-01,ST001,P0002,188,50
2024-07-01,ST001,P0003,70,69
2024-07-01,ST001,P0004,43,47
2024-07-01,ST001,P0005,138,63
2024-07-01,ST001,P0006,88,66
2024-07-01,ST001,P0007,238,25
2024-07-01,ST001,P0008,135,69
2024-07-01,ST001,P0009,78,41
2024-07-01,ST001,P0010,41,49
2024-07-01,ST001,P0011,103,62
2024-07-01,ST001,P0012,293,80
2024-07-01,ST001,P0013,88,68
2024-07-01,ST001,P0014,83,55
2024-07-01,ST001,P0015,227,63
2024-07-01,ST001,P0016,18,46
2024-07-01,ST001,P0017,44,49
2024-07-01,ST001,P0018,68,29
2024-07-01,ST001,P0019,285,67
2024-07-01,ST001,P0020,38,57
2024-07-01,ST001,P0021,50,61
2024-07-01,ST001,P0022,175,49
2024-07-01,ST001,P0023,79,43
2024-07-01,ST001,P0024,145,16
2024-07-01,ST001,P0025,55,63
2024-07-01,ST001,P0026,118,63
2024-07-01,ST001,P0027,58,30
2024-07-01,ST001,P0028,94,54
2024-07-01,ST001,P0029,255,27
2024-07-01,ST001,P0030,275,59
2024-07-01,ST001,P0031,297,51
2024-07-01,ST001,P0032,287,49
2024-07-01,ST001,P0033,55,21
2024-07-01,ST001,P0034,92,55
2024-07-01,ST001,P0035,204,38
2024-07-01,ST001,P0036,181,66
2024-07-01,ST001,P0037,249,31
2024-07-01,ST001,P0038,137,16
2024-07-01,ST001,P0039,267,34
2024-07-01,ST001,P0040,69,33
2024-07-01,ST001,P0041,198,49
2024-07-01,ST001,P0042,32,62
2024-07-01,ST001,P0043,132,68
2024-07-01,ST001,P0044,239,38
2024-07-01,ST001,P0045,229,60
2024-07-01,ST001,P0046,244,79
2024-07-01,ST001,P0047,151,50
2024-07-01,ST001,P0048,224,44
2024-07-01,ST001,P0049,161,26
2024-07-01,ST001,P0050,161,67
2024-07-01,ST001,P0051,165,26
2024-07-01,ST001,P0052,45,24
2024-07-01,ST001,P0053,127,26
2024-07-01,ST001,P0054,89,22
2024-07-01,ST001,P0055,48,51
2024-07-01,ST001,P0056,288,78
2024-07-01,ST001,P0057,10,69
2024-07-01,ST001,P0058,265,32
2024-07-01,ST001,P0059,250,78
2024-07-01,ST001,P0060,268,30
2024-07-01,ST001,P0061,212,16
2024-07-01,ST001,P0062,102,15
2024-07-01,ST001,P0063,222,59
2024-07-01,ST001,P0064,130,20
2024-07-01,ST001,P0065,234,36
2024-07-01,ST001,P0066,273,43
2024-07-01,ST001,P0067,94,24
2024-07-01,ST001,P0068,192,32
2024-07-01,ST001,P0069,268,60
2024-07-01,ST001,P0070,31,69
2024-07-01,ST001,P0071,258,63
2024-07-01,ST001,P0072,92,62
2024-07-01,ST001,P0073,62,58
2024-07-01,ST001,P0074,132,30
2024-07-01,ST001,P0075,153,53
2024-07-01,ST001,P0076,252,52
2024-07-01,ST001,P0077,140,42
2024-07-01,ST001,P0078,6,65
2024-07-01,ST001,P0079,116,54
2024-07-01,ST001,P0080,268,19
2024-07-01,ST001,P0081,242,77
2024-07-01,ST001,P0082,34,60
2024-07-01,ST001,P0083,8,73
2024-07-01,ST001,P0084,173,53
2024-07-01,ST001,P0085,186,28
2024-07-01,ST001,P0086,7,59
2024-07-01,ST001,P0087,100,66
2024-07-01,ST001,P0088,186,16
2024-07-01,ST001,P0089,56,70
2024-07-01,ST001,P0090,256,40
2024-07-01,ST001,P0091,48,80
2024-07-01,ST001,P0092,83,67
2024-07-01,ST001,P0093,68,77
2024-07-01,ST001,P0094,8,34
2024-07-01,ST001,P0095,133,43
2024-07-01,ST001,P0096,245,65
2024-07-01,ST001,P0097,196,53
2024-07-01,ST001,P0098,191,69
2024-07-01,ST001,P0099,98,49
2024-07-01,ST001,P0100,60,71
2024-07-01,ST002,P0001,229,35
2024-07-01,ST002,P0002,76,60
2024-07-01,ST002,P0003,227,15
2024-07-01,ST002,P0004,188,40
2024-07-01,ST002,P0005,61,39
2024-07-01,ST002,P0006,150,20
2024-07-01,ST002,P0007,73,65
2024-07-01,ST002,P0008,220,57
2024-07-01,ST002,P0009,21,35
2024-07-01,ST002,P0010,106,76
2024-07-01,ST002,P0011,141,30
2024-07-01,ST002,P0012,220,77
2024-07-01,ST002,P0013,286,78
2024-07-01,ST002,P0014,70,56
2024-07-01,ST002,P0015,209,79
2024-07-01,ST002,P0016,204,31
2024-07-01,ST002,P0017,61,28
2024-07-01,ST002,P0018,15,31
2024-07-01,ST002,P0019,84,59
2024-07-01,ST002,P0020,261,16
2024-07-01,ST002,P0021,126,21
2024-07-01,ST002,P0022,180,69
2024-07-01,ST002,P0023,9,70
2024-07-01,ST002,P0024,250,52
2024-07-01,ST002,P0025,149,77
2024-07-01,ST002,P0026,47,69
2024-07-01,ST002,P0027,131,34
2024-07-01,ST002,P0028,266,38
2024-07-01,ST002,P0029,132,50
2024-07-01,ST002,P0030,63,48
2024-07-01,ST002,P0031,131,69
2024-07-01,ST002,P0032,106,75
2024-07-01,ST002,P0033,57,79
2024-07-01,ST002,P0034,97,39
2024-07-01,ST002,P0035,81,44
2024-07-01,ST002,P0036,66,31
2024-07-01,ST002,P0037,210,19
2024-07-01,ST002,P0038,145,39
2024-07-01,ST002,P0039,79,69
2024-07-01,ST002,P0040,14,40
2024-07-01,ST002,P0041,51,21
2024-07-01,ST002,P0042,199,67
2024-07-01,ST002,P0043,273,54
2024-07-01,ST002,P0044,123,43
2024-07-01,ST002,P0045,177,69
2024-07-01,ST002,P0046,250,22
2024-07-01,ST002,P0047,266,69
2024-07-01,ST002,P0048,31,53
2024-07-01,ST002,P0049,61,49
2024-07-01,ST002,P0050,191,50
2024-07-01,ST002,P0051,184,68
2024-07-01,ST002,P0052,131,55
2024-07-01,ST002,P0053,29,38
2024-07-01,ST002,P0054,25,15
2024-07-01,ST002,P0055,31,56
2024-07-01,ST002,P0056,113,51
2024-07-01,ST002,P0057,246,50
2024-07-01,ST002,P0058,56,70
2024-07-01,ST002,P0059,99,47
2024-07-01,ST002,P0060,256,61
2024-07-01,ST002,P0061,176,53
2024-07-01,ST002,P0062,62,27
2024-07-01,ST002,P0063,11,31
2024-07-01,ST002,P0064,174,61
2024-07-01,ST002,P0065,190,62
2024-07-01,ST002,P0066,126,50
2024-07-01,ST002,P0067,112,64
2024-07-01,ST002,P0068,49,28
2024-07-01,ST002,P0069,71,30
2024-07-01,ST002,P0070,26,39
2024-07-01,ST002,P0071,103,72
2024-07-01,ST002,P0072,55,24
2024-07-01,ST002,P0073,284,58
2024-07-01,ST002,P0074,159,75
2024-07-01,ST002,P0075,108,34
2024-07-01,ST002,P0076,27,31
2024-07-01,ST002,P0077,103,68
2024-07-01,ST002,P0078,286,47
2024-07-01,ST002,P0079,291,59
2024-07-01,ST002,P0080,192,72
2024-07-01,ST002,P0081,65,70
2024-07-01,ST002,P0082,39,76
2024-07-01,ST002,P0083,219,79
2024-07-01,ST002,P0084,16,36
2024-07-01,ST002,P0085,145,31
2024-07-01,ST002,P0086,153,20
2024-07-01,ST002,P0087,294,22
2024-07-01,ST002,P0088,102,65
2024-07-01,ST002,P0089,258,80
2024-07-01,ST002,P0090,43,36
2024-07-01,ST002,P0091,229,80
2024-07-01,ST002,P0092,201,64
2024-07-01,ST002,P0093,210,49
2024-07-01,ST002,P0094,110,38
2024-07-01,ST002,P0095,6,35
2024-07-01,ST002,P0096,297,42
2024-07-01,ST002,P0097,9,80
2024-07-01,ST002,P0098,238,79
2024-07-01,ST002,P0099,273,48
2024-07-01,ST002,P0100,160,43
2024-07-01,ST003,P0001,156,49
2024-07-01,ST003,P0002,287,30
2024-07-01,ST003,P0003,92,43
2024-07-01,ST003,P0004,28,45
2024-07-01,ST003,P0005,154,20
2024-07-01,ST003,P0006,80,50
2024-07-01,ST003,P0007,73,49
2024-07-01,ST003,P0008,31,46
2024-07-01,ST003,P0009,112,29
2024-07-01,ST003,P0010,5,59
2024-07-01,ST003,P0011,193,56
2024-07-01,ST003,P0012,47,48
2024-07-01,ST003,P0013,73,67
2024-07-01,ST003,P0014,155,56
2024-07-01,ST003,P0015,34,16
2024-07-01,ST003,P0016,187,43
2024-07-01,ST003,P0017,148,37
2024-07-01,ST003,P0018,136,17
